Time,x,y
1523889577.6641245,1158,1296
0.0468199,1158,1293
0.0780776,1159,1292
0.1093292,1159,1291
0.1722341,1160,1291
0.208317,1161,1291
0.3392234,1161,1291
0.3860991,1161,1292
0.8175983,1162,1292
0.8488233,1167,1292
0.8800757,1190,1292
0.9112985,1221,1290
0.9269342,1238,1288
0.9425497,1252,1288
0.9425497,1260,1287
0.9581749,1266,1287
0.9738019,1277,1287
0.98943,1281,1287
1.0050554,1288,1287
1.0050554,1291,1287
1.0296156,1292,1287
1.0535991,1293,1287
1.0590944,1294,1287
1.0746987,1296,1287
1.0903244,1297,1287
1.1059511,1304,1287
1.1059511,1313,1287
1.1215775,1317,1287
1.1372039,1323,1287
1.1372039,1329,1287
1.1528308,1341,1287
1.1768646,1353,1287
1.1978827,1363,1287
1.211894,1374,1287
1.223906,1382,1285
1.2379203,1387,1285
1.2489302,1392,1285
1.2609491,1393,1285
1.2789652,1394,1285
1.2889674,1396,1285
1.3189979,1397,1285
1.3430219,1398,1285
1.3550313,1399,1286
1.3670433,1399,1289
26.8029621,1099,1311
26.8311241,1069,1311
26.8467512,981,1324
26.8779993,704,1404
26.9092562,330,1540
26.9416955,103,1600
26.9696822,0,1600
26.9936941,0,1600
27.013684,0,1600
27.0336823,0,1600
27.0336823,0,1600
27.0536823,0,1599
27.0656824,0,1599
27.0816813,0,1599
27.0936821,0,1599
27.1096852,0,1594
27.1176817,0,1588
27.1296818,0,1581
27.1456819,0,1553
27.1576817,0,1496
27.1656826,0,1458
27.1816826,0,1364
27.2016821,0,1252
27.2256813,0,1065
27.2336822,0,993
27.2496819,0,839
27.261682,0,669
27.2776823,0,487
27.2896907,0,395
27.3016818,20,194
27.3176818,78,9
27.5889103,78,3
27.6008725,78,0
27.620851,78,0
27.6409626,92,0
27.6565905,113,0
27.6565905,172,0
27.6722233,213,0
27.6878419,282,0
27.6878419,347,0
27.7034662,513,0
27.7190919,736,0
27.7347186,857,0
27.7503459,1066,0
27.7503459,1205,0
27.7659721,1342,0
27.7659721,1543,0
27.7857654,1626,0
27.7977638,1989,0
27.8097663,2147,0
27.8186038,2305,0
27.8346043,2560,0
27.8506038,2560,0
27.8603966,2560,0
27.8760092,2560,0
27.8916435,2560,0
27.8916435,2560,0
27.9072659,2560,0
28.1964128,2560,2
28.2254057,2560,159
28.2577689,2560,996
28.2890143,2560,1600
28.3046412,2560,1600
28.320266,2560,1600
28.335891,2560,1600
28.3515172,2560,1600
28.3671427,2560,1600
28.3827691,2560,1600
28.3983953,2560,1600
28.3983953,2559,1600
28.4140232,2559,1600
28.4296486,2552,1600
28.4296486,2542,1600
28.4452748,2507,1600
28.4609079,2488,1595
28.4609079,2463,1586
28.4765284,2438,1572
28.4921522,2411,1555
28.4921522,2311,1483
28.5195153,2227,1395
28.5435207,2060,1145
28.5635252,1990,998
28.5915201,1919,647
28.6155152,1933,415
28.6395237,1970,239
28.6635149,2047,0
28.687515,2073,0
28.707525,2085,0
28.7155161,2087,0
28.7275164,2080,0
28.7355161,2061,0
28.7475159,2034,0
28.763515,1918,0
28.779515,1696,3
28.7955174,1431,36
28.8115153,1116,97
28.8235216,810,174
28.8435278,623,245
28.8635142,427,340
28.8795147,268,451
28.9155209,127,614
28.9258206,81,706
28.9477301,72,734
28.9677298,51,811
28.9837306,47,839
28.9957304,45,855
29.00773,43,874
29.0197325,43,883
29.0317302,46,905
29.0477307,71,928
29.06373,105,951
29.0757306,236,1015
29.0917301,418,1089
29.1117301,654,1179
29.1237483,912,1289
29.1317303,975,1321
29.1437318,1185,1410
29.1637416,1301,1453
29.1877303,1438,1496
29.2077384,1505,1511
29.2277377,1560,1525
29.2517304,1591,1535
29.2677298,1598,1539
29.2957368,1603,1540
29.3157306,1604,1541
29.3237362,1606,1541
29.3437362,1615,1541
29.3637321,1627,1541
29.3837297,1642,1541
29.4037299,1650,1541
29.4157295,1654,1541
29.4317312,1658,1541
29.4477296,1658,1534
29.4597311,1658,1526
29.4797304,1655,1504
29.4997301,1638,1456
29.5117295,1625,1422
29.5357308,1605,1384
29.5517304,1596,1373
29.5677302,1586,1365
29.5837302,1582,1362
29.5997295,1571,1359
29.6082003,1568,1358
29.6238244,1557,1355
29.6394536,1544,1345
29.6394536,1537,1338
29.6550701,1526,1323
29.6707056,1519,1317
29.6863236,1513,1306
29.7098157,1508,1298
29.726826,1507,1295
29.733839,1507,1294
29.7548521,1507,1292
29.842936,1506,1292
29.9440916,1506,1293
