57,1026
81,773
472,134
316,190
265,166
308,109
344,97
140,391
449,246
362,476
482,479
443,588
665,390
324,695
284,694
249,662
577,239
528,264
496,329
442,530
483,599
499,718
810,461
414,838
329,844
824,277
752,255
285,663
600,335
385,567
113,941
242,694
500,365
401,450
482,381
378,508
514,421
513,517
624,487
445,670
387,685
668,340
594,292
272,522
443,271
296,391
320,373
369,366
90,797
155,517
373,199
274,242
244,263
294,238
264,338
416,331
405,463
480,487
554,463
408,607
641,342
657,297
264,661
649,246
233,578
498,251
274,460
441,306
353,445
410,485
450,543
608,463
650,460
426,708
377,748
769,330
265,774
748,239
297,615
305,542
364,423
416,383
460,375
387,519
578,423
464,618
493,639
537,658
577,661
640,620
592,651
674,508
680,425
677,367
333,663
640,313
592,302
304,543
337,465
418,381
401,465
419,516
451,557
515,591
592,577
544,622
635,509
442,639
425,335
388,447
529,450
472,628
467,676
713,442
731,366
321,723
698,292
651,285
288,610
314,534
342,479
370,447
401,439
451,444
480,487
547,509
517,614
657,506
699,475
426,724
350,734
299,717
672,264
608,253
265,547
296,503
486,319
360,473
472,404
448,497
553,476
611,485
683,483
460,734
769,425
368,789
302,791
776,253
221,733
209,655
218,551
249,447
267,404
360,288
341,303
332,335
403,356
494,415
584,537
604,614
658,604
578,707
523,741
424,764
768,354
757,303
717,271
264,673
592,272
306,500
428,342
393,370
408,377
379,459
424,539
497,605
584,641
647,663
617,710
523,757
411,781
330,791
292,791
261,775
243,732
673,242
571,279
323,502
458,366
417,439
448,476
501,558
604,565
621,614
691,621
755,582
506,806
834,413
842,350
840,315
821,287
776,265
251,694
248,611
508,253
273,450
419,301
358,407
472,435
516,597
587,643
650,655
625,710
558,766
437,823
844,310
818,243
232,754
555,271
450,339
376,425
411,420
449,435
476,460
568,525
531,631
691,525
490,741
435,764
772,365
299,764
734,255
234,670
248,556
296,454
355,413
418,406
428,487
544,469
555,572
552,625
464,710
354,749
754,303
264,743
712,237
664,222
218,582
243,492
288,442
425,369
440,444
489,525
600,582
636,670
643,750
586,805
828,484
829,374
266,790
701,231
612,230
510,263
297,445
396,332
392,362
489,373
460,572
576,537
596,559
652,526
474,695
721,399
726,279
219,695
644,190
577,180
507,181
203,428
235,373
344,268
315,327
368,325
65,1083
65,1083
1040,75
156,894
682,307
625,379
419,644
705,422
745,404
770,382
352,774
312,755
288,729
266,683
622,255
564,263
312,493
474,347
504,447
628,524
718,534
784,505
452,812
818,396
801,347
768,328
322,701
341,614
537,378
450,516
520,522
592,516
636,503
693,463
412,718
705,325
616,249
226,517
229,455
244,422
392,271
369,308
377,357
385,455
488,516
564,524
505,630
451,670
361,684
289,660
253,606
245,525
267,451
400,303
339,374
507,286
404,348
369,379
372,381
373,389
443,404
405,534
403,605
402,660
402,683
689,402
680,388
355,619
533,334
433,331
403,349
418,402
451,447
515,484
576,487
617,467
419,661
680,329
264,609
516,276
433,319
396,358
389,398
584,516
601,485
625,373
611,309
298,559
411,357
376,437
395,485
525,485
532,565
508,613
449,627
420,622
409,602
417,572
462,519
557,510
564,591
594,614
657,578
525,679
683,452
651,335
284,599
1075,55
1050,60
953,101
779,182
208,725
215,711
215,711
222,735
240,802
868,246
243,892
241,894
239,855
241,795
753,249
257,730
272,715
712,286
288,713
288,714
283,718
248,757
161,878
1002,82
38,1078
1105,21
18,1110
18,1110
18,1109
18,1108
19,1107
24,1107
35,1110
1128,43
44,1141
44,1141
45,1141
1140,47
1131,53
57,1127
60,1127
60,1127
60,1127
60,1127
60,1127
60,1127
60,1127
1042,63
114,916
145,835
764,173
714,191
200,687
207,671
216,659
656,233
266,683
724,311
357,741
716,413
444,588
449,415
298,463
482,243
505,227
234,531
568,283
394,610
624,485
603,555
602,507
401,628
336,638
259,612
219,580
216,546
270,487
448,318
346,435
408,446
475,468
544,509
545,653
740,557
544,799
500,829
409,855
307,875
886,255
242,887
235,878
824,229
747,255
308,693
640,396
1073,66
1073,66
1058,69
120,1009
907,278
451,829
555,780
628,726
673,653
689,564
459,678
649,362
601,307
570,308
538,326
508,357
444,492
628,551
611,757
632,821
617,861
529,871
840,433
802,388
758,383
708,413
474,651
550,710
562,791
868,469
920,252
923,164
898,138
176,802
674,277
418,538
472,479
378,527
292,535
242,507
229,471
242,446
289,421
368,405
428,476
516,607
681,572
617,770
825,621
865,590
450,901
336,889
