865, 756, 1521505346.0482876
865, 755, 1521505346.0572574
882, 751, 1521505346.064377
900, 750, 1521505346.0714376
938, 748, 1521505346.0804667
1002, 748, 1521505346.0883582
1087, 748, 1521505346.0964193
1188, 748, 1521505346.1034672
1306, 748, 1521505346.1114829
1438, 748, 1521505346.11951
1582, 748, 1521505346.1275551
1731, 748, 1521505346.1363506
1886, 750, 1521505346.1437657
2041, 756, 1521505346.1517236
2197, 767, 1521505346.1598516
2353, 779, 1521505346.168401
2660, 807, 1521505346.175999
2685, 821, 1521505346.1837654
2662, 832, 1521505346.1919196
2648, 839, 1521505346.2000773
2627, 844, 1521505346.2083554
2611, 847, 1521505346.2157493
2594, 849, 1521505346.2238724
2575, 850, 1521505346.232357
2558, 850, 1521505346.2559483
2557, 850, 1521505346.2639947
2549, 846, 1521505346.272076
2524, 838, 1521505346.2800121
2470, 826, 1521505346.2881277
2388, 818, 1521505346.296055
2276, 813, 1521505346.3041568
2047, 807, 1521505346.3122082
1875, 804, 1521505346.3252177
1673, 798, 1521505346.3342395
1450, 789, 1521505346.340256
1207, 777, 1521505346.3462708
952, 777, 1521505346.3523467
796, 771, 1521505346.3594294
627, 765, 1521505346.3674793
452, 756, 1521505346.3755038
282, 748, 1521505346.3843052
117, 742, 1521505346.3923485
-36, 730, 1521505346.3994012
-126, 716, 1521505346.4074273
-103, 700, 1521505346.4163282
-73, 690, 1521505346.4244826
-47, 676, 1521505346.4324517
6, 664, 1521505346.440489
24, 644, 1521505346.447624
68, 614, 1521505346.4562984
131, 584, 1521505346.4643226
280, 535, 1521505346.4723444
397, 507, 1521505346.4803689
537, 484, 1521505346.4883864
693, 466, 1521505346.4964073
866, 458, 1521505346.503426
1048, 455, 1521505346.5114768
1240, 457, 1521505346.5194693
1429, 468, 1521505346.527499
1609, 489, 1521505346.5355117
1776, 518, 1521505346.543562
1924, 559, 1521505346.5515542
2127, 638, 1521505346.5595753
2224, 690, 1521505346.5675983
2299, 746, 1521505346.5756211
2346, 796, 1521505346.5836387
2377, 843, 1521505346.5916615
2387, 877, 1521505346.5997066
2387, 904, 1521505346.6077306
2375, 930, 1521505346.6157959
2346, 955, 1521505346.623839
2298, 973, 1521505346.6318946
2224, 988, 1521505346.6399097
2119, 994, 1521505346.647933
1997, 992, 1521505346.6559505
1855, 983, 1521505346.663948
1709, 969, 1521505346.6719978
1562, 949, 1521505346.6800215
1425, 923, 1521505346.6880414
1298, 895, 1521505346.6960623
1183, 861, 1521505346.704054
1091, 829, 1521505346.7116308
1016, 795, 1521505346.720375
918, 737, 1521505346.7273962
876, 699, 1521505346.7354422
850, 665, 1521505346.7434645
836, 633, 1521505346.7514844
833, 604, 1521505346.7595081
835, 578, 1521505346.767533
851, 549, 1521505346.7755227
879, 526, 1521505346.783544
919, 502, 1521505346.7922764
974, 483, 1521505346.8002958
1038, 466, 1521505346.8082905
1111, 450, 1521505346.8163328
1181, 440, 1521505346.8233829
1247, 433, 1521505346.8318825
1305, 428, 1521505346.8402884
1349, 428, 1521505346.847473
1387, 429, 1521505346.8554935
1410, 433, 1521505346.8635154
1423, 437, 1521505346.8715367
1431, 440, 1521505346.8795576
1434, 443, 1521505346.8875794
1435, 446, 1521505346.8956008
1437, 451, 1521505346.9036825
1437, 455, 1521505346.9117067
1437, 458, 1521505346.9197106
1437, 462, 1521505346.9277487
1435, 466, 1521505346.9357421
1432, 469, 1521505346.9437847
1426, 472, 1521505346.9517846
1417, 475, 1521505346.9598062
1404, 477, 1521505346.9678278
1385, 480, 1521505346.9758818
1361, 480, 1521505346.9839003
1286, 480, 1521505346.9919214
1232, 480, 1521505346.9999418
1174, 485, 1521505347.0082889
1105, 490, 1521505347.0160844
1036, 497, 1521505347.0241065
960, 507, 1521505347.0321262
890, 520, 1521505347.0401487
814, 533, 1521505347.048151
738, 545, 1521505347.056288
661, 561, 1521505347.0642428
598, 573, 1521505347.072267
520, 596, 1521505347.080368
492, 605, 1521505347.0883665
478, 611, 1521505347.0963304
471, 617, 1521505347.1043575
466, 621, 1521505347.1123803
464, 622, 1521505347.1204216
464, 623, 1521505347.1284528
464, 624, 1521505347.1365292
464, 624, 1521505347.1558216
464, 626, 1521505347.1638422
467, 631, 1521505347.1717827
469, 635, 1521505347.1803608
472, 640, 1521505347.1878965
474, 643, 1521505347.1959174
478, 647, 1521505347.2038858
483, 651, 1521505347.212003
487, 655, 1521505347.2200284
493, 658, 1521505347.2280447
502, 662, 1521505347.236068
512, 666, 1521505347.2441902
521, 670, 1521505347.2523556
528, 672, 1521505347.2604573
534, 674, 1521505347.2684808
537, 677, 1521505347.275529
539, 678, 1521505347.2843502
540, 680, 1521505347.2925658
542, 683, 1521505347.299679
544, 686, 1521505347.3083496
546, 686, 1521505347.3158426
547, 687, 1521505347.3235722
547, 688, 1521505347.3315954
548, 689, 1521505347.3396165
550, 691, 1521505347.347694
552, 693, 1521505347.3557916
553, 694, 1521505347.363748
556, 696, 1521505347.3723578
561, 698, 1521505347.3799224
569, 700, 1521505347.3889596
579, 701, 1521505347.3960621
592, 703, 1521505347.4037929
609, 704, 1521505347.4122865
634, 704, 1521505347.4202003
671, 704, 1521505347.4282203
709, 704, 1521505347.4362931
737, 703, 1521505347.4443033
757, 699, 1521505347.4523468
771, 696, 1521505347.4603982
780, 692, 1521505347.4676
785, 689, 1521505347.4756255
788, 686, 1521505347.4835784
790, 684, 1521505347.4918091
792, 682, 1521505347.4998305
793, 681, 1521505347.5077577
795, 677, 1521505347.5157795
797, 674, 1521505347.5238922
